tot_case_date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
26/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
27/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
28/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
29/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
30/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
31/01/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
1/02/2020,2032,,,,,,,,,,,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,3,,,,,,2,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,3,,,,,,,,,5,,,,,,,,,,,,,,,7,,1994,,,,,,2,,,,
2/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
3/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
4/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
5/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
6/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
7/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
8/02/2020,14570,,,,,,,,,,,,,14515,12,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,14411,,,,,,,,,,,,,,,,,,,,,,,,,30,26,,,,1,6,,,,,,11,,,,,,,,,,,,,,106,,,,2,,,,,,,,3,,15,,,,,,,,,,,,,,,,,,20,,,,8,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,13,,,,,12,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,18,,,,,,,,15,,5,5,,,,,,,,23,,,,,,,,,,,,,5,1,9,,14444,,,,,,6,,,,
9/02/2020,37629,,,,,,,,,,,,,37429,15,,,,,,,,1,,,,,,,,,,,,,,,1,,7,,,,,,37251,,,,,,,,,,,,,,,,,,,,,,,,,84,45,,,,1,12,,,,,,20,,,,,,,,,,,,,,223,,,15,7,,74,,,,,,3,,25,,,,,,,,,,,,,,,,,,34,,,,16,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,27,,,,,15,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,40,,,,,,,,27,,7,5,,,1,,,,,29,,,,,,,,,,,,,7,21,20,,37298,,,,,,13,,,,
10/02/2020,37629,,,,,,,,,,,,,37429,15,,,,,,,,1,,,,,,,,,,,,,,,1,,7,,,,,,37251,,,,,,,,,,,,,,,,,,,,,,,,,84,45,,,,1,12,,,,,,20,,,,,,,,,,,,,,223,,,15,7,,74,,,,,,3,,25,,,,,,,,,,,,,,,,,,34,,,,16,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,27,,,,,15,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,40,,,,,,,,27,,7,5,,,1,,,,,29,,,,,,,,,,,,,7,21,20,,37298,,,,,,13,,,,
11/02/2020,37629,,,,,,,,,,,,,37429,15,,,,,,,,1,,,,,,,,,,,,,,,1,,7,,,,,,37251,,,,,,,,,,,,,,,,,,,,,,,,,84,45,,,,1,12,,,,,,20,,,,,,,,,,,,,,223,,,15,7,,74,,,,,,3,,25,,,,,,,,,,,,,,,,,,34,,,,16,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,27,,,,,15,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,40,,,,,,,,27,,7,5,,,1,,,,,29,,,,,,,,,,,,,7,21,20,,37298,,,,,,13,,,,
12/02/2020,37629,,,,,,,,,,,,,37429,15,,,,,,,,1,,,,,,,,,,,,,,,1,,7,,,,,,37251,,,,,,,,,,,,,,,,,,,,,,,,,84,45,,,,1,12,,,,,,20,,,,,,,,,,,,,,223,,,15,7,,74,,,,,,3,,25,,,,,,,,,,,,,,,,,,34,,,,16,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,27,,,,,15,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,40,,,,,,,,27,,7,5,,,1,,,,,29,,,,,,,,,,,,,7,21,20,,37298,,,,,,13,,,,
